,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,rmse
0,0.001,0.01,0.01,additive,10.100906
1,0.001,0.01,0.01,multiplicative,10.402433
2,0.001,0.01,0.10,additive,10.121739
3,0.001,0.01,0.10,multiplicative,10.454130
4,0.001,0.01,1.00,additive,10.129796
5,0.001,0.01,1.00,multiplicative,10.424942
6,0.001,0.01,10.00,additive,10.131216
7,0.001,0.01,10.00,multiplicative,10.454346
8,0.001,0.10,0.01,additive,10.098256
9,0.001,0.10,0.01,multiplicative,10.111616
10,0.001,0.10,0.10,additive,10.097444
11,0.001,0.10,0.10,multiplicative,10.107388
12,0.001,0.10,1.00,additive,10.104781
13,0.001,0.10,1.00,multiplicative,10.109683
14,0.001,0.10,10.00,additive,10.105168
15,0.001,0.10,10.00,multiplicative,10.109685
16,0.001,1.00,0.01,additive,9.931506
17,0.001,1.00,0.01,multiplicative,10.103581
18,0.001,1.00,0.10,additive,10.068165
19,0.001,1.00,0.10,multiplicative,10.108563
20,0.001,1.00,1.00,additive,10.067755
21,0.001,1.00,1.00,multiplicative,10.109852
22,0.001,1.00,10.00,additive,10.067768
23,0.001,1.00,10.00,multiplicative,10.108422
24,0.001,10.00,0.01,additive,9.930257
25,0.001,10.00,0.01,multiplicative,10.103994
26,0.001,10.00,0.10,additive,10.068230
27,0.001,10.00,0.10,multiplicative,10.110334
28,0.001,10.00,1.00,additive,10.068169
29,0.001,10.00,1.00,multiplicative,10.109401
30,0.001,10.00,10.00,additive,10.068182
31,0.001,10.00,10.00,multiplicative,10.109346
32,0.010,0.01,0.01,additive,10.389888
33,0.010,0.01,0.01,multiplicative,10.674879
34,0.010,0.01,0.10,additive,10.388071
35,0.010,0.01,0.10,multiplicative,10.445323
36,0.010,0.01,1.00,additive,10.361929
37,0.010,0.01,1.00,multiplicative,10.400299
38,0.010,0.01,10.00,additive,10.269849
39,0.010,0.01,10.00,multiplicative,9.903246
40,0.01,0.1,0.01,additive,10.374208
41,0.01,0.1,0.01,multiplicative,10.399868
42,0.01,0.1,0.10,additive,10.039899
43,0.01,0.1,0.10,multiplicative,10.323780
44,0.01,0.1,1.00,additive,10.165625
45,0.01,0.1,1.00,multiplicative,9.215032
46,0.01,0.1,10.00,additive,10.159873
47,0.01,0.1,10.00,multiplicative,9.346281
48,0.01,1.0,0.01,additive,10.301253
49,0.01,1.0,0.01,multiplicative,10.424371
50,0.01,1.0,0.10,additive,10.082757
51,0.01,1.0,0.10,multiplicative,10.299545
52,0.01,1.0,1.00,additive,10.015331
53,0.01,1.0,1.00,multiplicative,9.321461
54,0.01,1.0,10.00,additive,10.217629
55,0.01,1.0,10.00,multiplicative,9.706208
56,0.01,10.0,0.01,additive,10.265430
57,0.01,10.0,0.01,multiplicative,10.431058
58,0.01,10.0,0.10,additive,10.062733
59,0.01,10.0,0.10,multiplicative,10.224697
60,0.01,10.00,1.00,additive,10.188590
61,0.01,10.00,1.00,multiplicative,10.319233
62,0.01,10.00,10.00,additive,10.229682
63,0.01,10.00,10.00,multiplicative,9.353679
64,0.10,0.01,0.01,additive,9.622436
65,0.10,0.01,0.01,multiplicative,9.399546
66,0.10,0.01,0.10,additive,9.640394
67,0.10,0.01,0.10,multiplicative,9.491438
68,0.10,0.01,1.00,additive,9.668552
69,0.10,0.01,1.00,multiplicative,9.429242
70,0.10,0.01,10.00,additive,9.632135
71,0.10,0.01,10.00,multiplicative,9.424098
72,0.10,0.10,0.01,additive,9.750148
73,0.10,0.10,0.01,multiplicative,9.559011
74,0.10,0.10,0.10,additive,9.763209
75,0.10,0.10,0.10,multiplicative,9.523838
76,0.10,0.10,1.00,additive,9.667868
77,0.10,0.10,1.00,multiplicative,9.461812
78,0.10,0.10,10.00,additive,9.706749
79,0.10,0.10,10.00,multiplicative,9.613377
80,0.1,1.00,0.01,additive,9.678254
81,0.1,1.00,0.01,multiplicative,9.561540
82,0.1,1.00,0.10,additive,9.714490
83,0.1,1.00,0.10,multiplicative,9.524444
84,0.1,1.00,1.00,additive,9.739922
85,0.1,1.00,1.00,multiplicative,9.579024
86,0.1,1.00,10.00,additive,9.863341
87,0.1,1.00,10.00,multiplicative,9.563416
88,0.1,10.00,0.01,additive,9.731111
89,0.1,10.00,0.01,multiplicative,9.404296
90,0.1,10.00,0.10,additive,9.705265
91,0.1,10.00,0.10,multiplicative,9.516756
92,0.1,10.00,1.00,additive,9.903983
93,0.1,10.00,1.00,multiplicative,9.651560
94,0.1,10.00,10.00,additive,9.905070
95,0.1,10.00,10.00,multiplicative,9.608427
96,0.5,0.01,0.01,additive,10.167984
97,0.5,0.01,0.01,multiplicative,9.753120
98,0.5,0.01,0.10,additive,10.161672
99,0.5,0.01,0.10,multiplicative,9.647571
100,0.5,0.01,1.00,additive,10.144294
101,0.5,0.01,1.00,multiplicative,9.775014
102,0.5,0.01,10.00,additive,10.126060
103,0.5,0.01,10.00,multiplicative,9.675680
104,0.5,0.10,0.01,additive,10.598274
105,0.5,0.10,0.01,multiplicative,10.046729
106,0.5,0.10,0.10,additive,10.550784
107,0.5,0.10,0.10,multiplicative,9.966124
108,0.5,0.10,1.00,additive,10.587066
109,0.5,0.10,1.00,multiplicative,10.153176
110,0.5,0.10,10.00,additive,10.543076
111,0.5,0.10,10.00,multiplicative,10.047492
112,0.5,1.00,0.01,additive,10.598266
113,0.5,1.00,0.01,multiplicative,10.031137
114,0.5,1.00,0.10,additive,10.563307
115,0.5,1.00,0.10,multiplicative,10.169312
116,0.5,1.00,1.00,additive,10.528265
117,0.5,1.00,1.00,multiplicative,10.100239
118,0.5,1.00,10.00,additive,10.533513
119,0.5,1.00,10.00,multiplicative,10.045716
120,0.5,10.0,0.01,additive,10.583288
121,0.5,10.0,0.01,multiplicative,10.065953
122,0.5,10.0,0.10,additive,10.572991
123,0.5,10.0,0.10,multiplicative,10.013961
124,0.5,10.0,1.00,additive,10.520265
125,0.5,10.0,1.00,multiplicative,10.075205
126,0.5,10.0,10.00,additive,10.519870
127,0.5,10.0,10.00,multiplicative,10.064839
